samples	TC	bombus.count	non.bombus	tip
AF033315_Vairimorpha_lymantriae_Lymantria_dispar	4	0	4	AF033315_Vairimorpha_lymantriae_Lymantria_dispar (Tot seq=4)
AF426104_Nosema_carpocapsae_Cydia_pomonella	1	0	1	AF426104_Nosema_carpocapsae_Cydia_pomonella (Tot seq=1)
AF495379_Oligosporidium_occidentalis_Metaseiulus_occidentalis	1	0	1	AF495379_Oligosporidium_occidentalis_Metaseiulus_occidentalis (Tot seq=1)
AK777022_Bombus_occidentalis_1	1	1	0	AK777022_Bombus_occidentalis_1 (Tot seq=1)
AK777022_Bombus_occidentalis_10	29	29	0	AK777022_Bombus_occidentalis_10 (Tot seq=29)
AK777022_Bombus_occidentalis_11	2	2	0	AK777022_Bombus_occidentalis_11 (Tot seq=2)
AK777022_Bombus_occidentalis_12	1	1	0	AK777022_Bombus_occidentalis_12 (Tot seq=1)
AK777022_Bombus_occidentalis_14	1	1	0	AK777022_Bombus_occidentalis_14 (Tot seq=1)
AK777022_Bombus_occidentalis_2	1	1	0	AK777022_Bombus_occidentalis_2 (Tot seq=1)
AK777022_Bombus_occidentalis_3	1	1	0	AK777022_Bombus_occidentalis_3 (Tot seq=1)
AY008373_Nosema_bombi_Bombus_terrestris	77	77	0	AY008373_Nosema_bombi_Bombus_terrestris (Tot seq=77)
AY017212_Nosema_sp._Bombyx_mori	4	0	4	AY017212_Nosema_sp._Bombyx_mori (Tot seq=4)
AY741101_Nosema_bombi_Bombus_hypnorum	7	7	0	AY741101_Nosema_bombi_Bombus_hypnorum (Tot seq=7)
AY741105_Nosema_bombi_Bombus_pascuorum	1	1	0	AY741105_Nosema_bombi_Bombus_pascuorum (Tot seq=1)
AY741106_Nosema_bombi_Bombus_pascuorum	1	1	0	AY741106_Nosema_bombi_Bombus_pascuorum (Tot seq=1)
AY741107_Nosema_bombi_Bombus_pratorum	1	1	0	AY741107_Nosema_bombi_Bombus_pratorum (Tot seq=1)
AY741108_Nosema_bombi_Bombus_pratorum	1	1	0	AY741108_Nosema_bombi_Bombus_pratorum (Tot seq=1)
AY741109_Nosema_bombi_Bombus_subterraneus	1	1	0	AY741109_Nosema_bombi_Bombus_subterraneus (Tot seq=1)
AY741111_Nosema_bombi_Bombus_terrestris	1	1	0	AY741111_Nosema_bombi_Bombus_terrestris (Tot seq=1)
CO765497_Bombus_occidentalis_1	38	38	0	CO765497_Bombus_occidentalis_1 (Tot seq=38)
CO765497_Bombus_occidentalis_2	1	1	0	CO765497_Bombus_occidentalis_2 (Tot seq=1)
CT09.0109_Bombus_impatiens_3	8	8	0	CT09.0109_Bombus_impatiens_3 (Tot seq=8)
CT09.0109_Bombus_impatiens_4	1	1	0	CT09.0109_Bombus_impatiens_4 (Tot seq=1)
JF443592_Nosema_bombycis_Bombyx_mori	1	0	1	JF443592_Nosema_bombycis_Bombyx_mori (Tot seq=1)
CT09.0109_Bombus_impatiens_7	1	1	0	CT09.0109_Bombus_impatiens_7 (Tot seq=1)
DM11.12_Bombus_terrestris_12	1	1	0	DM11.12_Bombus_terrestris_12 (Tot seq=1)
DM11.12_Bombus_terrestris_2	1	1	0	DM11.12_Bombus_terrestris_2 (Tot seq=1)
DM11.12_Bombus_terrestris_4	1	1	0	DM11.12_Bombus_terrestris_4 (Tot seq=1)
DQ235446_Nosema_apis	2	0	2	DQ235446_Nosema_apis (Tot seq=2)
DQ919071_Nosema_sp._Pieris_rapae	4	0	4	DQ919071_Nosema_sp._Pieris_rapae (Tot seq=4)
EF585399_Nosema_sp._Apis_mellifera	1	0	1	EF585399_Nosema_sp._Apis_mellifera (Tot seq=1)
EU487251_Vairimorpha_sp._Ocinara_lida	1	0	1	EU487251_Vairimorpha_sp._Ocinara_lida (Tot seq=1)
Fr10.306_Bombus_terrestris_11	2	2	0	Fr10.306_Bombus_terrestris_11 (Tot seq=2)
Fr10.306_Bombus_terrestris_13	2	2	0	Fr10.306_Bombus_terrestris_13 (Tot seq=2)
Fr10.306_Bombus_terrestris_5	1	1	0	Fr10.306_Bombus_terrestris_5 (Tot seq=1)
Fr11.012_Bombus_lucorum_1	1	1	0	Fr11.012_Bombus_lucorum_1 (Tot seq=1)
