 Times	preservative	dna	qual	rep	time	pres
<10min	EtOH	192.78	5.89	1	1	1
<10min	EtOH	186.82	8.95	2	1	1
<10min	EtOH	137.13	12.9	3	1	1
<10min	EtOH	200.73	6.56	4	1	1
<10min	EtOH	228.56	2.96	5	1	1
<10min	EtOH	176.88	7.39	6	1	1
<10min	EtOH	155.02	5.36	7	1	1
<10min	EtOH	216.63	1.47	8	1	1
<10min	EtOH	198.75	4.84	9	1	1
<10min	EtOH	168.93	8.63	10	1	1
24hrs	EtOH	87.57	0	1	2	1
24hrs	EtOH	111.45	0	2	2	1
24hrs	EtOH	97.52	0	3	2	1
24hrs	EtOH	85.58	3.61	4	2	1
24hrs	EtOH	123.39	2.79	5	2	1
24hrs	EtOH	109.46	2.4	6	2	1
24hrs	EtOH	83.59	0	7	2	1
24hrs	EtOH	93.54	3.28	8	2	1
24hrs	EtOH	107.47	0	9	2	1
24hrs	EtOH	81.6	0	10	2	1
<10min	DMSO	208.68	78.34	1	1	2
<10min	DMSO	302.09	54.25	2	1	2
<10min	DMSO	137.13	74.97	3	1	2
<10min	DMSO	141.11	73.86	4	1	2
<10min	DMSO	186.82	57.15	5	1	2
<10min	DMSO	186.82	74.83	6	1	2
<10min	DMSO	149.06	68.85	7	1	2
<10min	DMSO	159	87.47	8	1	2
<10min	DMSO	246.45	74.2	9	1	2
<10min	DMSO	117.26	73.61	10	1	2
24hrs	DMSO	13.93	0	1	2	2
24hrs	DMSO	9.95	0	2	2	2
24hrs	DMSO	9.95	0	3	2	2
24hrs	DMSO	11.94	0	4	2	2
24hrs	DMSO	15.92	0	5	2	2
24hrs	DMSO	9.95	0	6	2	2
24hrs	DMSO	7.96	0	7	2	2
24hrs	DMSO	21.89	0	8	2	2
24hrs	DMSO	19.9	0	9	2	2
24hrs	DMSO	11.94	0	10	2	2
<10min	M2	248.43	21.47	1	1	3
<10min	M2	164.96	2.88	2	1	3
<10min	M2	206.7	17.17	3	1	3
<10min	M2	212.66	45.48	4	1	3
<10min	M2	220.61	40.66	5	1	3
<10min	M2	250.42	61.35	6	1	3
<10min	M2	280.23	13.51	7	1	3
<10min	M2	224.58	44.05	8	1	3
<10min	M2	123.22	57.6	9	1	3
<10min	M2	210.67	50.23	10	1	3
24hrs	M2	55.72	4.8	1	2	3
24hrs	M2	89.56	15.16	2	2	3
24hrs	M2	103.49	0	3	2	3
24hrs	M2	93.54	1.77	4	2	3
24hrs	M2	81.6	0	5	2	3
24hrs	M2	77.62	2.63	6	2	3
24hrs	M2	69.66	0.31	7	2	3
24hrs	M2	117.42	0	8	2	3
24hrs	M2	81.6	0.95	9	2	3
24hrs	M2	71.65	2.19	10	2	3
