names	63to73	67to73	73to76	123to126	130to130
AF033315_Vairimorpha_lymantriae_Lymantria_dispar	1	0	0	1	c
AF426104_Nosema_carpocapsae_Cydia_pomonella	1	0	0	1	a
AF495379_Oligosporidium_occidentalis_Metaseiulus_occidentalis	1	0	0	1	1
AK777022_Bombus_occidentalis_1	0	0	0	1	1
AK777022_Bombus_occidentalis_10	0	0	0	1	1
AK777022_Bombus_occidentalis_11	0	0	0	1	1
AK777022_Bombus_occidentalis_12	0	0	0	1	1
AK777022_Bombus_occidentalis_14	0	0	0	1	1
AK777022_Bombus_occidentalis_2	0	0	0	1	1
AK777022_Bombus_occidentalis_3	0	0	0	1	1
AY008373_Nosema_bombi_Bombus_terrestris	1	0	0	1	1
AY017212_Nosema_sp._Bombyx_mori	1	0	0	1	a
AY741101_Nosema_bombi_Bombus_hypnorum	0	0	0	1	1
AY741105_Nosema_bombi_Bombus_pascuorum	0	0	0	1	1
AY741106_Nosema_bombi_Bombus_pascuorum	0	0	0	1	1
AY741107_Nosema_bombi_Bombus_pratorum	0	0	0	1	1
AY741108_Nosema_bombi_Bombus_pratorum	0	0	0	1	1
AY741109_Nosema_bombi_Bombus_subterraneus	0	0	0	1	1
AY741111_Nosema_bombi_Bombus_terrestris	0	0	0	1	1
CO765497_Bombus_occidentalis_1	1	0	0	1	1
CO765497_Bombus_occidentalis_2	1	0	0	1	1
CT09.0109_Bombus_impatiens_3	0	0	0	1	1
CT09.0109_Bombus_impatiens_4	1	0	1	1	1
CT09.0109_Bombus_impatiens_7	0	0	0	1	1
DM11.12_Bombus_terrestris_12	1	0	0	1	1
DM11.12_Bombus_terrestris_2	1	0	0	1	1
DM11.12_Bombus_terrestris_4	1	0	0	1	1
DQ235446_Nosema_apis	1	0	0	1	1
DQ919071_Nosema_sp._Pieris_rapae	1	0	0	1	a
EF585399_Nosema_sp._Apis_mellifera	1	0	0	1	t
EU487251_Vairimorpha_sp._Ocinara_lida	1	0	0	1	a
Fr10.306_Bombus_terrestris_11	1	0	0	1	1
Fr10.306_Bombus_terrestris_13	1	0	0	1	1
Fr10.306_Bombus_terrestris_5	1	0	0	1	1
Fr11.012_Bombus_lucorum_1	1	0	0	1	t
Fr11.012_Bombus_lucorum_2	1	1	0	1	t
Fr11.012_Bombus_lucorum_3	1	1	0	1	t
GU131043_Nosema_ceranae_Apis_mellifera	1	0	0	1	t
GU131083_Nosema_ceranae_Apis_mellifera	1	0	0	1	t
GU131117_Nosema_ceranae_Apis_mellifera	1	0	0	0	t
HM142728_Nosema_bombi_Bombus_occidentalis	0	0	0	1	1
HM370543_Nosema_bombi_Bombus_lucorum	1	0	0	1	1
HM370549_Nosema_bombi_Bombus_saltuarius	1	0	0	1	1
ID744675_Bombus_bifarius_1	0	0	0	1	1
ID744675_Bombus_bifarius_2	0	0	0	1	1
IL10.006_Bombus_affinis_1	1	0	0	1	1
IL10.006_Bombus_affinis_4	1	0	0	1	1
JF443592_Nosema_bombycis_Bombyx_mori	1	0	1	1	1
JN872219_Nosema_sp._Bombus_lepidus	1	0	0	1	1
JN872221_Nosema_sp._Bombus_friseanus	1	0	0	1	1
JN872223_Nosema_sp._Bombus_friseanus	1	0	0	1	1
JN872226_Nosema_sp._Bombus_festivus	1	0	0	1	1
JN872227_Nosema_sp._Bombus_festivus	1	0	0	1	1
JN872229_Nosema_sp._Bombus_friseanus	1	0	0	1	1
JN872230_Nosema_bombi_Bombus_rufofasciatus	1	0	0	1	1
JN872231_Nosema_bombi_Bombus_friseanus	1	0	0	1	1
JN872233_Nosema_bombi_Bombus_friseanus	1	0	0	1	1
JN872235_Nosema_bombi_Bombus_friseanus	1	0	0	1	1
JN872236_Nosema_bombi_Bombus_friseanus	1	0	0	1	1
JN872238_Nosema_sp._Bombus_pyrosoma	1	0	0	1	1
JN872239_Nosema_sp._Bombus_impetuosus	1	0	0	1	t
JN872242_Nosema_sp._Bombus_friseanus	1	0	0	1	t
JN872243_Nosema_sp._Bombus_friseanus	1	0	0	1	t
JN872244_Nosema_sp._Bombus_trifasciatus	1	0	0	1	t
JN872245_Nosema_sp._Bombus_festivus	1	0	0	1	t
JN872246_Nosema_sp._Bombus_festivus	1	0	0	1	t
JN872248_Nosema_sp._Bombus_festivus	1	0	0	1	t
JN872249_Nosema_sp._Bombus_flavescens	1	0	0	1	t
JN872250_Nosema_sp._Bombus_friseanus	1	0	0	1	t
JN872251_Nosema_sp._Bombus_friseanus	1	0	0	1	t
JN872252_Nosema_sp._Bombus_festivus	1	0	0	1	t
JN872253_Nosema_sp._Bombus_pyrosoma	1	0	0	1	t
JN872254_Nosema_sp._Bombus_festivus	1	0	0	1	t
JN872260_Nosema_ceranae_Bombus_sibiricus	1	0	0	1	t
JN872262_Nosema_ceranae_Bombus_waltoni	1	0	0	1	t
JN872265_Nosema_ceranae_Bombus_sibiricus	1	0	0	1	t
JN872271_Nosema_ceranae_Bombus_impetuosus	1	0	0	0	t
JN872274_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872275_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872278_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872279_Nosema_sp._Bombus_friseanus	1	0	0	1	1
JN872281_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872282_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872283_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872285_Nosema_sp._Bombus_patagiatus	1	0	0	1	1
JN872286_Nosema_sp._Bombus_patagiatus	1	0	0	1	1
